Product_ID,Name,Category,Price,Material,Eco_Certifications,Sustainability_Score,Avg_Rating,Carbon_Footprint (kg CO2),Biodegradability (%),Water_Usage (L),Energy_Consumption (kWh),Supply_Chain_Transparency,Image_URL
P001,Eco-Friendly Stapler (P001),Office Supplies,19.54,Recycled Metal,EcoLabel,7.7,4.5,2.99,92,41.3,2.17,High,https://images.unsplash.com/photo-1559743341-7fef133c7c6a?q=80&w=1985&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
P002,Recycled Paper Sketchbook (P002),Stationery,23,Recycled Paper,FSC,9.1,4.4,1.7,85,18.7,1.23,Medium,https://images.unsplash.com/photo-1574330096374-a263e0a4b7f8?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
P003,Glass Food Containers (P003),Kitchen,61.67,Tempered Glass,EcoLabel,8,4.5,2.79,88,53.4,1.02,High,https://images.unsplash.com/photo-1705591395317-5d07463d3b2b?q=80&w=1974&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
P004,Bamboo Cleaning Brush (P004),Home Care,27.12,Bamboo & Sisal Bristles,Green Seal,8.9,4.1,3.22,74,138.9,3.36,Medium,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRCHNFfQ1bxbcVe8Zf5_6cNHirkn42mURbQKXEZ-TmmhvEYRML9bmbyHxa5rpEmsJXeYEE&usqp=CAU
P005,Organic Soap Bar (P005),Personal Care,17.28,Shea Butter & Essential Oils,Fair Trade,9.4,3.8,2.91,94,50.2,1.07,High,https://media.istockphoto.com/id/2151758817/photo/natural-soap-bars.jpg?s=1024x1024&w=is&k=20&c=sGTGOlxflPT91a1d-mFjscYJ3ew4K9UW6Iytvwzhuvc=
P006,Soy Ink Pens (P006),Stationery,15.84,Recycled Plastic & Soy Ink,FSC,7.8,4,3.17,86,33.2,1.39,High,https://i.etsystatic.com/19787228/r/il/b35b6b/5669863866/il_1588xN.5669863866_9tq0.jpg
P007,Plant-Based Glue Stick (P007),Office Supplies,19.44,Plant-Based Adhesive,EcoLabel,8.9,3.8,4.7,85,15.7,0.69,High,https://media.istockphoto.com/id/1400234538/photo/open-paper-glue-stick-with-cap-on-blue-background-3d-illustration.jpg?s=1024x1024&w=is&k=20&c=bNa49cNcUQnsgugjPjMM0_8ewvRvrvGfuj3WyKkq7eg=
P008,Glass Food Containers (P008),Kitchen,28.99,Tempered Glass,USDA Organic,9.1,4.4,3.34,76,84.2,2.87,High,https://nestasia.in/cdn/shop/files/tiffinbox_7.jpg?v=1704457765
P009,Compostable Trash Bags (P009),Home Care,32.61,Cornstarch Bioplastic,Green Seal,7.6,3.9,4.26,92,80.2,5.43,High,https://store.eco365.co.in/cdn/shop/products/GarbageBag-firstimage-packof4-new_700x700.png?v=1675254704
P010,Eco-Friendly LED Bulb (P010),Electronics,74.55,Aluminum & Recycled Glass,Energy Star,6.2,4.4,15.3,37,11.7,7.78,Low,https://esysense.com/cdn/shop/files/Motion_Sensor_2.png?v=1725098214&width=416
P011,Soy Ink Pens (P011),Stationery,21.6,Recycled Plastic & Soy Ink,FSC,7.4,4.6,3.14,97,28.7,0.82,High,https://sheedostudio.com/wp-content/uploads/2024/07/Erba-Blanco-Mano-scaled.webp
P012,Reusable Straws (P012),Kitchen,63.2,Stainless Steel,USDA Organic,9.5,3.5,5.67,90,60.7,3.83,High,"https://images-eu.ssl-images-amazon.com/images/I/61pdeK1jeTL._AC_UL600_SR600,600_.jpg"
P013,Hot Wheels Set (P013),Toys,32.73,Recycled Plastic,FSC,8.8,4.5,2.06,84,62.6,1.82,High,"https://images-eu.ssl-images-amazon.com/images/I/71AwMf9lM5S._AC_UL495_SR435,495_.jpg"
P014,Eco-Friendly Detergent (P014),Home Care,46.47,Plant-Based Ingredients,EcoLabel,7.5,4.2,5.17,77,147.1,2.78,Medium,https://armchairshopaholic.com/wp-content/uploads/2021/01/91sol9ps3xl._sl1500_.jpg?w=1327&h=768&crop=1
P015,Bamboo Cleaning Brush (P015),Home Care,59.9,Bamboo & Sisal Bristles,EcoLabel,8,3.7,5.15,87,133.2,3.12,Medium,https://images-cdn.ubuy.co.in/634e634353baad011723f5f2-bamboo-dish-brush-set-scrub-brush-with.jpg
P016,Bamboo Sunglasses (P016),Travel,142.63,Bamboo & Recycled Glass,Carbon Neutral,8.1,4.9,11.54,83,67.8,5.62,Medium,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQuJLJyhc3ID3Hp76hB7jhN2catwq0DI26nb9KI84om6p-qD1jsu-ePYwlIoGtZl7R6xFM&usqp=CAU
P017,Bamboo Cleaning Brush (P017),Home Care,22.86,Bamboo & Sisal Bristles,EcoLabel,8.7,3.6,3.77,76,99.9,5.07,High,https://image.made-in-china.com/2f0j00zmhVSgUGvWpT/Bamboo-Brush-Brush-Pot-Sweep-Kitchen-Pot-Scrubber-Brush.webp
P018,Stainless Steel Lunchbox (P018),Kitchen,50.11,Stainless Steel,USDA Organic,8.6,4.9,5.03,72,38.9,1.25,High,https://rukminim2.flixcart.com/image/850/1000/kwmfqfk0/lunch-box/x/n/m/200-stainless-steel-lunch-box-for-school-office-food-grade-and-original-imag99hnuwb5qy8y.jpeg?q=20&crop=false
P019,Eco-Friendly Highlighters (P019),Stationery,12.06,Plant-Based Plastic,FSC,7.6,4.8,1.48,97,16.7,1.43,High,https://goforzero.com.au/cdn/shop/products/3_fbb0e54c-032a-4b2e-af8b-86e144f83049_1200x.png?v=1616792996
P020,Reusable Straws (P020),Kitchen,31.02,Stainless Steel,EcoLabel,9.2,3.9,5.99,74,54.4,3.98,High,https://ts3.mm.bing.net/th?id=OIP.ICiQPCu2HBwLVhbJg_sTKAHaJ4&pid=15.1
P021,Eco-Friendly LED Bulb (P021),Electronics,70.33,Aluminum & Recycled Glass,Carbon Neutral,6.5,4.6,20.66,43,47.5,13.9,Medium,https://th.bing.com/th/id/OIP.9I7mqitrCKlwzh_TP4cWFAHaE8?w=243&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
P022,Wooden Racing Car (P022),Toys,34.07,Solid Wood,EcoLabel,9.1,3.5,2.6,93,28.7,1.17,High,https://th.bing.com/th/id/OIP.LYPKMOs2fBvAzYTO-XcCpwHaF7?w=206&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
P023,Glass Food Containers (P023),Kitchen,64.25,Tempered Glass,EcoLabel,8.5,3.7,4.6,63,75.7,3.1,High,https://th.bing.com/th/id/OIP.AXq069Bs3xmf3VJjnuNLMwAAAA?w=160&h=203&c=7&r=0&o=5&dpr=1.3&pid=1.7
